ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
LWLG,2025-07-21 19:30:00+00:00,2025-07-22 13:30:00+00:00,1.976,2.133,7.446,253.68,target,0.1837,1,17038.71,2025-07-21 19:30:00+00:00,2025-07
LWLG,2025-07-22 14:30:00+00:00,2025-07-22 14:30:00+00:00,2.1511,2.322,7.446,253.74,target,0.2597,1,17550.11,2025-07-22 14:30:00+00:00,2025-07
AEVA,2025-07-22 14:30:00+00:00,2025-07-23 13:30:00+00:00,25.0725,25.0775,-0.48,-16.37,timeout,0.1795,0,18056.46,2025-07-22 14:30:00+00:00,2025-07
RCAT,2025-07-22 14:30:00+00:00,2025-07-23 13:30:00+00:00,8.9695,9.3203,3.412,116.26,timeout,0.1795,1,18172.72,2025-07-22 14:30:00+00:00,2025-07
LWLG,2025-07-22 15:30:00+00:00,2025-07-22 15:30:00+00:00,2.3962,2.5866,7.446,261.36,target,0.2597,1,17811.47,2025-07-22 15:30:00+00:00,2025-07
IOVA,2025-07-22 15:30:00+00:00,2025-07-22 18:30:00+00:00,2.9065,3.1374,7.446,261.36,target,0.1837,1,18072.83,2025-07-22 15:30:00+00:00,2025-07
FTRE,2025-07-22 15:30:00+00:00,2025-07-23 14:30:00+00:00,5.705,6.062,5.758,202.11,timeout,0.204,1,18246.56,2025-07-22 15:30:00+00:00,2025-07
QS,2025-07-22 16:30:00+00:00,2025-07-23 15:30:00+00:00,13.1015,12.7021,-3.548,-126.41,stop,0.1936,0,17864.03,2025-07-22 16:30:00+00:00,2025-07
LWLG,2025-07-22 19:30:00+00:00,2025-07-23 13:30:00+00:00,2.4762,2.4007,-3.549,-128.26,stop,0.2597,0,18044.46,2025-07-22 19:30:00+00:00,2025-07
NVTS,2025-07-23 14:30:00+00:00,2025-07-24 13:30:00+00:00,8.3292,8.7106,4.08,147.24,timeout,0.1837,1,17781.53,2025-07-23 14:30:00+00:00,2025-07
LWLG,2025-07-23 14:30:00+00:00,2025-07-23 14:30:00+00:00,2.6113,2.5317,-3.548,-128.06,stop,0.1795,0,17990.44,2025-07-23 14:30:00+00:00,2025-07
OPEN,2025-07-23 14:30:00+00:00,2025-07-23 14:30:00+00:00,2.3662,2.294,-3.548,-128.06,stop,0.2597,0,18118.5,2025-07-23 14:30:00+00:00,2025-07
IOVA,2025-07-23 15:30:00+00:00,2025-07-23 16:30:00+00:00,4.1122,3.9868,-3.548,-127.68,stop,0.2275,0,17876.59,2025-07-23 15:30:00+00:00,2025-07
OPEN,2025-07-23 15:30:00+00:00,2025-07-23 15:30:00+00:00,2.2411,2.1728,-3.549,-127.68,stop,0.2597,0,17736.35,2025-07-23 15:30:00+00:00,2025-07
GHRS,2025-07-23 15:30:00+00:00,2025-07-23 16:30:00+00:00,13.8169,14.9148,7.446,267.91,target,0.2275,1,18004.27,2025-07-23 15:30:00+00:00,2025-07
OPEN,2025-07-23 16:30:00+00:00,2025-07-23 16:30:00+00:00,2.2788,2.2094,-3.548,-125.87,stop,0.2597,0,17750.71,2025-07-23 16:30:00+00:00,2025-07
LWLG,2025-07-23 16:30:00+00:00,2025-07-24 13:30:00+00:00,2.4262,2.619,7.446,264.13,target,0.2597,1,18045.66,2025-07-23 16:30:00+00:00,2025-07
OPEN,2025-07-23 17:30:00+00:00,2025-07-23 17:30:00+00:00,2.2161,2.3922,7.446,264.34,target,0.2597,1,18015.06,2025-07-23 17:30:00+00:00,2025-07
IOVA,2025-07-23 17:30:00+00:00,2025-07-23 19:30:00+00:00,3.997,3.8751,-3.549,-125.98,stop,0.2114,0,17761.23,2025-07-23 17:30:00+00:00,2025-07
CRML,2025-07-23 17:30:00+00:00,2025-07-24 16:30:00+00:00,4.3922,4.2583,-3.549,-125.98,stop,0.2275,0,17290.5,2025-07-23 17:30:00+00:00,2025-07
OPEN,2025-07-23 18:30:00+00:00,2025-07-23 18:30:00+00:00,2.4113,2.3378,-3.549,-127.85,stop,0.2597,0,17887.21,2025-07-23 18:30:00+00:00,2025-07
OPEN,2025-07-23 19:30:00+00:00,2025-07-23 19:30:00+00:00,2.3511,2.2794,-3.549,-126.95,stop,0.2597,0,17634.28,2025-07-23 19:30:00+00:00,2025-07
