ticker,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
RAND,2025-08-05 15:30:00+00:00,2025-08-05 18:30:00+00:00,17.54,17.86,1.824,timeout,0.6001,1
IMCC,2025-08-05 15:30:00+00:00,2025-08-05 18:30:00+00:00,2.4994,2.4724,-1.08,timeout,0.6076,0
LRHC,2025-08-06 16:30:00+00:00,2025-08-06 19:30:00+00:00,474.0,506.0,6.751,timeout,0.615,1
RAND,2025-08-07 15:30:00+00:00,2025-08-08 14:30:00+00:00,17.2175,16.68,-3.122,stop,0.6046,0
ONMD,2025-08-07 18:30:00+00:00,2025-08-08 14:30:00+00:00,0.4728,0.47,-0.592,timeout,0.6039,0
PODC,2025-08-08 15:30:00+00:00,2025-08-08 18:30:00+00:00,1.55,1.59,2.581,timeout,0.6077,1
ONMD,2025-08-08 17:30:00+00:00,2025-08-11 13:30:00+00:00,0.47,0.48,2.128,timeout,0.6152,1
CVV,2025-08-11 18:30:00+00:00,2025-08-12 14:30:00+00:00,3.65,3.33,-8.767,stop,0.609,0
RAND,2025-08-11 19:30:00+00:00,2025-08-12 15:30:00+00:00,16.5715,16.4793,-0.556,timeout,0.6153,0
CVV,2025-08-12 15:30:00+00:00,2025-08-12 18:30:00+00:00,3.2401,3.161,-2.441,timeout,0.6161,0
RAND,2025-08-13 14:30:00+00:00,2025-08-13 17:30:00+00:00,13.82,14.37,3.98,timeout,0.6091,1
MWYN,2025-08-14 14:30:00+00:00,2025-08-14 15:30:00+00:00,0.955,0.9248,-3.162,stop,0.6094,0
LEDS,2025-08-14 15:30:00+00:00,2025-08-14 18:30:00+00:00,1.63,1.67,2.454,timeout,0.6136,1
ATER,2025-08-14 16:30:00+00:00,2025-08-14 19:30:00+00:00,0.9701,0.9599,-1.051,timeout,0.6047,0
PLUT,2025-08-15 19:30:00+00:00,2025-08-18 15:30:00+00:00,2.88,2.8226,-1.993,timeout,0.6408,0
HQI,2025-08-19 17:30:00+00:00,2025-08-20 17:30:00+00:00,9.13,9.227,1.062,timeout,0.6108,1
SPHL,2025-08-20 13:30:00+00:00,2025-08-20 15:30:00+00:00,3.7024,3.5208,-4.905,stop,0.6034,0
SPHL,2025-08-21 18:30:00+00:00,2025-08-22 13:30:00+00:00,3.484,3.1232,-10.356,stop,0.6086,0
RNAZ,2025-08-21 18:30:00+00:00,2025-08-22 14:30:00+00:00,9.7799,10.14,3.682,timeout,0.6236,1
SPHL,2025-08-27 18:30:00+00:00,2025-08-28 16:30:00+00:00,3.596,3.5512,-1.246,timeout,0.6134,0
SPHL,2025-08-29 14:30:00+00:00,2025-08-29 19:30:00+00:00,3.4776,3.4408,-1.058,timeout,0.6385,0
PODC,2025-08-29 14:30:00+00:00,2025-08-29 17:30:00+00:00,1.43,1.57,9.79,target,0.6342,1
PLUT,2025-08-29 18:30:00+00:00,2025-09-02 13:30:00+00:00,2.95,2.7488,-6.82,stop,0.619,0
